iter	Passed	Remaining
621	992	603
622	993	601
623	995	599
624	996	597
625	997	595
626	998	593
627	999	591
628	1000	590
629	1002	588
630	1003	586
631	1004	585
632	1007	583
633	1008	582
634	1009	580
635	1010	578
636	1012	576
637	1013	574
638	1014	573
639	1015	571
640	1016	569
641	1018	567
642	1019	565
643	1021	564
644	1022	562
645	1024	561
646	1025	559
647	1026	557
648	1027	555
649	1028	553
650	1030	552
651	1031	550
652	1032	548
653	1034	547
654	1036	545
655	1037	544
656	1038	542
657	1040	540
658	1041	538
659	1042	536
660	1043	535
661	1045	533
662	1046	531
663	1047	530
664	1048	528
665	1050	527
666	1052	525
667	1053	523
668	1054	521
669	1055	519
670	1056	517
671	1057	515
672	1058	514
673	1059	512
674	1060	510
675	1060	508
676	1062	506
677	1062	504
678	1064	503
679	1065	501
680	1066	499
681	1067	497
682	1068	495
683	1069	493
684	1070	492
685	1070	490
686	1071	488
687	1072	486
688	1073	484
689	1074	482
690	1075	480
691	1076	479
692	1077	477
693	1078	475
694	1080	473
695	1080	472
696	1081	470
697	1082	468
698	1083	466
699	1084	464
700	1085	463
701	1087	461
702	1088	459
703	1089	457
704	1089	456
705	1090	454
706	1091	452
707	1092	450
708	1093	448
709	1094	447
710	1095	445
711	1096	443
712	1097	441
713	1098	439
714	1099	438
715	1100	436
716	1101	434
717	1102	432
718	1103	431
719	1104	429
720	1105	427
721	1105	425
722	1107	424
723	1108	422
724	1109	420
725	1110	419
726	1111	417
727	1112	415
728	1113	413
729	1114	412
730	1115	410
731	1116	408
732	1117	406
733	1118	405
734	1119	403
735	1119	401
736	1121	400
737	1123	398
738	1124	397
739	1125	395
740	1127	393
741	1128	392
742	1130	390
743	1131	389
744	1132	387
745	1133	386
746	1135	384
747	1138	383
748	1139	381
749	1141	380
750	1142	378
751	1144	377
752	1145	375
753	1146	374
754	1147	372
755	1149	371
756	1152	369
757	1154	368
758	1156	367
759	1157	365
760	1158	363
761	1160	362
762	1161	360
763	1162	359
764	1164	357
765	1165	356
766	1169	355
767	1171	354
768	1173	352
769	1175	351
770	1177	349
771	1179	348
772	1180	346
773	1182	345
774	1186	344
775	1187	342
776	1189	341
777	1190	339
778	1192	338
779	1193	336
780	1194	334
781	1197	333
782	1200	332
783	1201	331
784	1202	329
785	1208	328
786	1210	327
787	1217	327
788	1218	325
789	1219	324
790	1221	322
791	1222	321
792	1223	319
793	1224	317
794	1228	316
795	1230	315
796	1231	313
797	1233	312
798	1235	310
799	1236	309
800	1237	307
801	1238	305
802	1240	304
803	1243	303
804	1245	301
805	1246	300
806	1248	298
807	1249	296
808	1251	295
809	1252	293
810	1253	292
811	1255	290
812	1258	289
813	1259	287
814	1260	286
815	1262	284
816	1264	283
817	1265	281
818	1266	279
819	1268	278
820	1269	276
821	1272	275
822	1274	273
823	1276	272
824	1277	270
825	1278	269
826	1280	267
827	1282	266
828	1283	264
829	1285	263
830	1287	261
831	1289	260
832	1290	258
833	1292	257
834	1293	255
835	1295	254
836	1298	252
837	1299	251
838	1301	249
839	1303	248
840	1305	246
841	1306	245
842	1307	243
843	1309	242
844	1311	240
845	1312	238
846	1314	237
847	1316	236
848	1319	234
849	1320	233
850	1321	231
851	1323	229
852	1325	228
853	1326	226
854	1327	225
855	1329	223
856	1332	222
857	1333	220
858	1334	219
859	1336	217
860	1337	215
861	1339	214
862	1340	212
863	1341	211
864	1343	209
865	1344	208
866	1346	206
867	1348	205
868	1350	203
869	1352	202
870	1353	200
871	1354	198
872	1356	197
873	1357	195
874	1358	194
875	1361	192
876	1362	191
877	1364	189
878	1366	188
879	1367	186
880	1368	184
881	1370	183
882	1371	181
883	1372	180
884	1374	178
885	1376	177
886	1377	175
887	1378	173
888	1380	172
889	1381	170
890	1382	169
891	1383	167
892	1384	165
893	1384	164
894	1385	162
895	1386	160
896	1388	159
897	1389	157
898	1390	156
899	1392	154
900	1393	153
901	1394	151
902	1395	149
903	1396	148
904	1397	146
905	1398	145
906	1398	143
907	1399	141
908	1401	140
909	1402	138
910	1402	137
911	1405	135
912	1406	134
913	1407	132
914	1408	130
915	1411	129
916	1413	127
917	1415	126
918	1417	124
919	1420	123
920	1422	121
921	1423	120
922	1424	118
923	1425	117
924	1425	115
925	1426	114
926	1427	112
927	1428	110
928	1429	109
929	1430	107
930	1431	106
931	1432	104
932	1433	102
933	1434	101
934	1437	99
935	1438	98
936	1440	96
937	1442	95
938	1445	93
939	1447	92
940	1451	91
941	1453	89
942	1455	87
943	1456	86
944	1458	84
945	1460	83
946	1462	81
947	1466	80
948	1469	78
949	1471	77
950	1473	75
951	1476	74
952	1481	73
953	1486	71
954	1488	70
955	1490	68
956	1498	67
957	1501	65
958	1502	64
959	1504	62
960	1506	61
961	1511	59
962	1515	58
963	1516	56
964	1518	55
965	1520	53
966	1523	51
967	1529	50
968	1531	48
969	1538	47
970	1540	46
971	1542	44
972	1544	42
973	1546	41
974	1548	39
975	1553	38
976	1556	36
977	1557	35
978	1561	33
979	1565	31
980	1569	30
981	1570	28
982	1578	27
983	1580	25
984	1584	24
985	1586	22
986	1590	20
987	1595	19
988	1603	17
989	1607	16
990	1608	14
991	1610	12
992	1611	11
993	1612	9
994	1616	8
995	1618	6
996	1620	4
997	1621	3
998	1623	1
999	1624	0
